region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lots,A50,Agricultural - A50,50.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lots,GL,Golf Land,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lots,GP,General Purpose,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A1,Agricultural - A1,150.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A2,Agricultural - A2,100.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A3,Agricultural - A3,60.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A6,Agricultural - A6,138.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A15,Agricultural - A15,55.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A16,Agricultural - A16,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A25,Agricultural - A25,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A40,Agricultural - A40,150.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A50,Agricultural - A50,50.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,GL,Golf Land,63.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,GP,General Purpose,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A1,Agricultural - A1,150.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A2,Agricultural - A2,100.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A3,Agricultural - A3,60.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A6,Agricultural - A6,138.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A15,Agricultural - A15,55.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A16,Agricultural - A16,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A25,Agricultural - A25,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A40,Agricultural - A40,150.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A50,Agricultural - A50,50.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,GL,Golf Land,63.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,GP,General Purpose,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A1,Agricultural - A1,188.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A2,Agricultural - A2,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A3,Agricultural - A3,60.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A6,Agricultural - A6,150.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A15,Agricultural - A15,55.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A16,Agricultural - A16,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A25,Agricultural - A25,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A40,Agricultural - A40,188.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A50,Agricultural - A50,50.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,GL,Golf Land,63.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,GP,General Purpose,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A1,Agricultural - A1,188.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A2,Agricultural - A2,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A3,Agricultural - A3,60.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A6,Agricultural - A6,150.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A15,Agricultural - A15,55.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A16,Agricultural - A16,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A25,Agricultural - A25,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A40,Agricultural - A40,188.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A50,Agricultural - A50,50.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,GL,Golf Land,63.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,GP,General Purpose,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A1,Agricultural - A1,188.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A2,Agricultural - A2,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A3,Agricultural - A3,60.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A6,Agricultural - A6,150.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A15,Agricultural - A15,55.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A16,Agricultural - A16,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A25,Agricultural - A25,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A40,Agricultural - A40,188.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A50,Agricultural - A50,50.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,GL,Golf Land,63.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,GP,General Purpose,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A1,Agricultural - A1,188.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A2,Agricultural - A2,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A3,Agricultural - A3,60.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A6,Agricultural - A6,150.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A15,Agricultural - A15,55.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A16,Agricultural - A16,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A25,Agricultural - A25,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A40,Agricultural - A40,188.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A50,Agricultural - A50,50.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,GL,Golf Land,63.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,GP,General Purpose,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A1,Agricultural - A1,150.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A2,Agricultural - A2,100.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A3,Agricultural - A3,60.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A6,Agricultural - A6,138.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A15,Agricultural - A15,55.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A16,Agricultural - A16,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A25,Agricultural - A25,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A40,Agricultural - A40,150.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,A50,Agricultural - A50,50.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,GL,Golf Land,63.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lot,GP,General Purpose,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lots,A1,Agricultural - A1,250.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lots,A2,Agricultural - A2,125.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lots,A3,Agricultural - A3,80.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lots,A6,Agricultural - A6,188.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lots,A15,Agricultural - A15,70.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lots,A16,Agricultural - A16,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lots,A25,Agricultural - A25,75.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lots,A40,Agricultural - A40,188.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lots,A50,Agricultural - A50,60.0
raw,"RDO No. 15 - Naguilian, Isabela (formerly Ilagan, Isabela) is composed of",,7/20/2023,2ND,OF ISABELA,ALICIA,AGRICULTURAL LANDS/OTHER CLASSIFICATIONS,All Lots,Interior Lots,GL,Golf Land,75.0
