region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,ALONG NATIONAL H-WAY,CR,Commercial - Regular,5000.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,ALONG NATIONAL H-WAY,RR,Residential - Regular,3000.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,ALONG MUNICIPAL ROAD,RR,Residential - Regular,2700.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,ALONG BARANGAY ROAD,RR,Residential - Regular,2600.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,RR,Residential - Regular,2000.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A1,Agricultural - A1,50.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A2,Agricultural - A2,40.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A3,Agricultural - A3,20.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A4,Agricultural - A4,40.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A5,Agricultural - A5,40.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A6,Agricultural - A6,40.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A7,Agricultural - A7,10.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A10,Agricultural - A10,20.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A11,Agricultural - A11,30.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A12,Agricultural - A12,40.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A14,Agricultural - A14,40.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A15,Agricultural - A15,20.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A16,Agricultural - A16,40.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A17,Agricultural - A17,40.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A19,Agricultural - A19,50.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A24,Agricultural - A24,20.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A25,Agricultural - A25,30.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A26,Agricultural - A26,30.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A36,Agricultural - A36,10.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A48,Agricultural - A48,50.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,ALONG NATIONAL ROAD,CR,Commercial - Regular,6150.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,ALONG NATIONAL ROAD,RR,Residential - Regular,3700.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,ALONG MUNICIPAL ROAD,RR,Residential - Regular,3320.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,ALONG BARANGAY ROAD,RR,Residential - Regular,3210.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,RR,Residential - Regular,2425.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A1,Agricultural - A1,60.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A2,Agricultural - A2,50.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A3,Agricultural - A3,25.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A4,Agricultural - A4,50.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A5,Agricultural - A5,50.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A6,Agricultural - A6,50.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A7,Agricultural - A7,15.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A10,Agricultural - A10,25.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A11,Agricultural - A11,35.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A12,Agricultural - A12,50.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A14,Agricultural - A14,50.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A15,Agricultural - A15,25.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A16,Agricultural - A16,50.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A17,Agricultural - A17,50.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A19,Agricultural - A19,60.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A24,Agricultural - A24,25.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A25,Agricultural - A25,35.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A26,Agricultural - A26,35.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A36,Agricultural - A36,15.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A48,Agricultural - A48,60.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,ALONG NATIONAL H-WAY,CR,Commercial - Regular,5000.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,ALONG NATIONAL H-WAY,RR,Residential - Regular,3000.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,ALONG MUNICIPAL ROAD,RR,Residential - Regular,2700.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,ALONG BARANGAY ROAD,RR,Residential - Regular,2600.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,RR,Residential - Regular,2000.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A1,Agricultural - A1,50.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A2,Agricultural - A2,40.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A3,Agricultural - A3,20.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A4,Agricultural - A4,40.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A5,Agricultural - A5,40.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A6,Agricultural - A6,40.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A7,Agricultural - A7,10.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A10,Agricultural - A10,20.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A11,Agricultural - A11,30.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A12,Agricultural - A12,40.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A14,Agricultural - A14,40.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A15,Agricultural - A15,20.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A16,Agricultural - A16,40.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A17,Agricultural - A17,40.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A19,Agricultural - A19,50.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A24,Agricultural - A24,20.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A25,Agricultural - A25,30.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A26,Agricultural - A26,30.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A36,Agricultural - A36,10.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A48,Agricultural - A48,50.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Along Nat'l. H-way,RR,Residential - Regular,75.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,RR,Residential - Regular,55.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A1,Agricultural - A1,5.25
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A2,Agricultural - A2,3.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A3,Agricultural - A3,1.75
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A4,Agricultural - A4,2.15
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A5,Agricultural - A5,1.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A6,Agricultural - A6,10.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A7,Agricultural - A7,1.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A10,Agricultural - A10,1.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A11,Agricultural - A11,1.9
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A12,Agricultural - A12,9.25
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A14,Agricultural - A14,9.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A15,Agricultural - A15,1.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A16,Agricultural - A16,1.4
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A17,Agricultural - A17,3.35
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A19,Agricultural - A19,6.9
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A24,Agricultural - A24,1.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A25,Agricultural - A25,1.4
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A26,Agricultural - A26,7.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A36,Agricultural - A36,1.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A48,Agricultural - A48,3.8
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Along Nat'l. H-way,RR,Residential - Regular,75.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,RR,Residential - Regular,55.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A1,Agricultural - A1,5.25
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A2,Agricultural - A2,3.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A3,Agricultural - A3,1.75
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A4,Agricultural - A4,2.15
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A5,Agricultural - A5,1.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A6,Agricultural - A6,10.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A7,Agricultural - A7,1.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A10,Agricultural - A10,1.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A11,Agricultural - A11,1.9
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A12,Agricultural - A12,9.25
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A14,Agricultural - A14,9.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A15,Agricultural - A15,1.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A16,Agricultural - A16,1.4
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A17,Agricultural - A17,3.35
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A19,Agricultural - A19,6.9
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A24,Agricultural - A24,1.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A25,Agricultural - A25,1.4
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A26,Agricultural - A26,7.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A36,Agricultural - A36,1.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,AGDANGAN (01),All lots,Interior lots,A48,Agricultural - A48,3.8
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,ANTIPOLO,ALL LOTS,ALONG MUN./ BRGY. ROAD*,RR,Residential - Regular,1500.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,ANTIPOLO,ALL LOTS,INTERIOR,RR,Residential - Regular,1000.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,ANTIPOLO,ALL LOTS,INTERIOR,A3,Agricultural - A3,15.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,ANTIPOLO,ALL LOTS,ALONG PROVINCIAL ROAD,RR,Residential - Regular,1970.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,ANTIPOLO,ALL LOTS,ALONG MUN./ BRGY. ROAD,RR,Residential - Regular,1815.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,ANTIPOLO,ALL LOTS,INTERIOR,RR,Residential - Regular,1175.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,ANTIPOLO,ALL LOTS,INTERIOR,A1,Agricultural - A1,55.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,ANTIPOLO,ALL LOTS,INTERIOR,A3,Agricultural - A3,20.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,ANTIPOLO,ALL LOTS,ALONG MUN./ BRGY. ROAD*,RR,Residential - Regular,1500.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,ANTIPOLO,ALL LOTS,INTERIOR,RR,Residential - Regular,1000.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,ANTIPOLO,ALL LOTS,INTERIOR,A3,Agricultural - A3,15.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,ANTIPOLO,All lots,Along the Road,RR,Residential - Regular,55.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,ANTIPOLO,All lots,Interior,RR,Residential - Regular,50.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,ANTIPOLO,All lots,Along the Road,RR,Residential - Regular,55.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,,CAMARINES SUR,BAAO,ANTIPOLO,All lots,Interior,RR,Residential - Regular,50.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,BAGUMBAYAN,ALL LOTS,ALONG BARANGAY ROAD*,RR,Residential - Regular,2500.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,BAGUMBAYAN,ALL LOTS,INTERIOR,RR,Residential - Regular,2000.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,BAGUMBAYAN,ALL LOTS,INTERIOR,A2,Agricultural - A2,35.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,BAGUMBAYAN,ALL LOTS,INTERIOR,A4,Agricultural - A4,40.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,BAGUMBAYAN,ALL LOTS,,A2,Agricultural - A2,40.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,2ND,CAMARINES SUR,BAAO,BAGUMBAYAN,ALL LOTS,,A4,Agricultural - A4,60.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,BAGUMBAYAN,ALL LOTS,ALONG BARANGAY ROAD*,RR,Residential - Regular,2500.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,BAGUMBAYAN,ALL LOTS,INTERIOR,RR,Residential - Regular,2000.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,BAGUMBAYAN,ALL LOTS,INTERIOR,A2,Agricultural - A2,35.0
raw,"RDO No. 66 - Iriga City, Camarines Sur is composed of the following City a",,,1ST,CAMARINES SUR,BAAO,BAGUMBAYAN,ALL LOTS,INTERIOR,A4,Agricultural - A4,40.0
