region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A36,Agricultural - A36,10.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APOC-APOC,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A48,Agricultural - A48,30.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APOC-APOC,ALONG BARANGAY ROAD (BR),WITHIN 200M. FROM CTR LINE OF BR,RR,Residential - Regular,380.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APOC-APOC,INTERIOR LOTS,WITHIN 200M. FROM CTR LINE OF BR,RR,Residential - Regular,230.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A1,Agricultural - A1,25.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A2,Agricultural - A2,15.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A3,Agricultural - A3,15.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A4,Agricultural - A4,15.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A12,Agricultural - A12,15.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A14,Agricultural - A14,15.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A15,Agricultural - A15,10.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A16,Agricultural - A16,10.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A23,Agricultural - A23,20.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A24,Agricultural - A24,10.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A26,Agricultural - A26,10.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A36,Agricultural - A36,10.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,SEASHORE,A39,Agricultural - A39,275.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,SEASHORE,A40,Agricultural - A40,450.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALL LOTS,SEASHORE,A48,Agricultural - A48,15.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APURAWAN (APORAWAN),ALONG BARANGAY ROAD (BR),WITHIN 200M. FROM CTR LINE OF BR,RR,Residential - Regular,370.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,APURAWAN (APORAWAN),INTERIOR LOTS,WITHIN 200M. FROM CTR LINE OF BR,RR,Residential - Regular,240.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,BARAKE,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A1,Agricultural - A1,25.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,BARAKE,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A2,Agricultural - A2,15.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,BARAKE,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A3,Agricultural - A3,15.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,BARAKE,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A4,Agricultural - A4,15.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,BARAKE,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A12,Agricultural - A12,15.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,BARAKE,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A14,Agricultural - A14,15.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,BARAKE,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A15,Agricultural - A15,10.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,BARAKE,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A16,Agricultural - A16,10.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,BARAKE,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A23,Agricultural - A23,20.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,BARAKE,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A24,Agricultural - A24,10.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,BARAKE,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A26,Agricultural - A26,10.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,BARAKE,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A36,Agricultural - A36,10.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,BARAKE,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A48,Agricultural - A48,15.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,BARAKE,ALONG BARANGAY ROAD (BR),WITHIN 200M. FROM CTR LINE OF BR,RR,Residential - Regular,280.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,BARAKE,INTERIOR LOTS,WITHIN 200M. FROM CTR LINE OF BR,RR,Residential - Regular,230.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A1,Agricultural - A1,25.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A2,Agricultural - A2,15.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A3,Agricultural - A3,15.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A4,Agricultural - A4,15.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A12,Agricultural - A12,15.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A15,Agricultural - A15,10.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A16,Agricultural - A16,10.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A36,Agricultural - A36,15.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A23,Agricultural - A23,20.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A24,Agricultural - A24,10.0
raw,"RDO No. 36 - Puerto Princesa City, Palawan is composed of the following Ci",,,2ND,PALAWAN,ABORLAN,CABIGAAN,ALL LOTS,WITHIN 200M. FROM CTR LINE OF BR,A26,Agricultural - A26,10.0
