region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,A & T  BUILDING,ESCOLTA MANILA,RC,Residential - Condominium,15000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,ALONSO MANSION,ALONZO STREET,RC,Residential - Condominium,10000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,BELTON REALTY CORP,REINA REGENTE,RC,Residential - Condominium,12500.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,BENAVIDEZ GARDEN,BENAVIDEZ STREET,RC,Residential - Condominium,10000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,ESCOLTA TWIN TOWER,ESCOLTA MANILA,RC,Residential - Condominium,17500.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,FEDERAL HOMES,PLAZA L RUIZ,RC,Residential - Condominium,12500.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,FEDERAL TOWER,MUELLE DE BINONDO,RC,Residential - Condominium,17500.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,GIOK HAN DIONISIO,1140 AGUILAR ST,RC,Residential - Condominium,10000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,GOODWAY,BAMBANG STREET,RC,Residential - Condominium,10000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,HILLCREST CONDO,233 JUAN LUNA ST,RC,Residential - Condominium,10000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,KNOTS REALTY DEV,AGUILAR STREET,RC,Residential - Condominium,10000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,MANFEL ENTERP INC,1125 SOLER ST,RC,Residential - Condominium,10000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,PARK TOWER CONDO,F TORRES ST,RC,Residential - Condominium,10000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,PLAZA MORAGA MANSION,PLAZA MORAGA ST,RC,Residential - Condominium,12500.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,RAY BURTON,8737 P DE ROXAS ST,RC,Residential - Condominium,12500.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,REGINA I,REINA REGENTE,RC,Residential - Condominium,12500.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,REGINA II,REINA REGENTE,RC,Residential - Condominium,12500.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,RICHTOWN,BAMBANG STREET,RC,Residential - Condominium,10000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,SANTA ELENA CONDO,676 STA ELENA ST,RC,Residential - Condominium,10000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,SOLER TOWER CONDO,SOLER STREET,RC,Residential - Condominium,10000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,STANDARD REALTY CORP,ALVARADO STREET,RC,Residential - Condominium,10000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,STATE INVES'T CONDO,233 JUAN LUNA,RC,Residential - Condominium,15000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,CONDOMINIUMS,YUCHENGCO TOWER,500 Q PAREDES ST,RC,Residential - Condominium,15000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,ORION-DINALUPIHAN,CR,Commercial - Regular,9640.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,ORION-DINALUPIHAN,RR,Residential - Regular,2700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE-J A SANTOS,CR,Commercial - Regular,9270.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE-J A SANTOS,RR,Residential - Regular,2700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE-ORION,CR,Commercial - Regular,9270.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE-ORION,RR,Residential - Regular,2700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS-LICO,CR,Commercial - Regular,9270.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS-LICO,RR,Residential - Regular,2700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,LICO-RIZAL AVE,CR,Commercial - Regular,9270.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,LICO-RIZAL AVE,RR,Residential - Regular,2700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS-LICO,CR,Commercial - Regular,9270.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS-LICO,RR,Residential - Regular,2700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,BUGALLON-J A SANTOS,CR,Commercial - Regular,9270.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,BUGALLON-J A SANTOS,RR,Residential - Regular,2700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,ORION-DINALUPIHAN,CR,Commercial - Regular,7410.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,ORION-DINALUPIHAN,RR,Residential - Regular,2340.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE-J A SANTOS,CR,Commercial - Regular,7410.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE-J A SANTOS,RR,Residential - Regular,2340.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE-ORION,CR,Commercial - Regular,7410.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE-ORION,RR,Residential - Regular,2340.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS-LICO,CR,Commercial - Regular,7410.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS-LICO,RR,Residential - Regular,2340.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,LICO-RIZAL AVE,CR,Commercial - Regular,7410.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,LICO-RIZAL AVE,RR,Residential - Regular,2340.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS-LICO,CR,Commercial - Regular,7410.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS-LICO,RR,Residential - Regular,2340.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,BUGALLON-J A SANTOS,CR,Commercial - Regular,7410.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,BUGALLON-J A SANTOS,RR,Residential - Regular,2340.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,ORION-DINALUPIHAN,CR,Commercial - Regular,5700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,ORION-DINALUPIHAN,RR,Residential - Regular,1800.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE-J A SANTOS,CR,Commercial - Regular,5700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE-J A SANTOS,RR,Residential - Regular,1800.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE-ORION,CR,Commercial - Regular,5700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE-ORION,RR,Residential - Regular,1800.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS-LICO,CR,Commercial - Regular,5700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS-LICO,RR,Residential - Regular,1800.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,LICO-RIZAL AVE,CR,Commercial - Regular,5700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,LICO-RIZAL AVE,RR,Residential - Regular,1800.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS-LICO,CR,Commercial - Regular,5700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS-LICO,RR,Residential - Regular,1800.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,BUGALLON-J A SANTOS,CR,Commercial - Regular,5700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,BUGALLON-J A SANTOS,RR,Residential - Regular,1800.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,ORION DINALUPIHAN,CR,Commercial - Regular,4550.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,ORION DINALUPIHAN,RR,Residential - Regular,1440.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE J A SANTOS,CR,Commercial - Regular,4550.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE J A SANTOS,RR,Residential - Regular,1440.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE ORION,CR,Commercial - Regular,4550.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE ORION,RR,Residential - Regular,1440.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS LICO,CR,Commercial - Regular,4550.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS LICO,RR,Residential - Regular,1440.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,LICO RIZAL AVE,CR,Commercial - Regular,4550.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,LICO RIZAL AVE,RR,Residential - Regular,1440.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS LICO,CR,Commercial - Regular,4550.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS LICO,RR,Residential - Regular,1440.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,BUGALLON J A SANTOS,CR,Commercial - Regular,4550.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,BUGALLON J A SANTOS,RR,Residential - Regular,1440.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,ORION-DINALUPIHAN,CR,Commercial - Regular,3500.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,ORION-DINALUPIHAN,RR,Residential - Regular,1200.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE-J A SANTOS,CR,Commercial - Regular,3500.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE-J A SANTOS,RR,Residential - Regular,1200.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE-ORION,CR,Commercial - Regular,3500.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,RIZAL AVE-ORION,RR,Residential - Regular,1200.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS-LICO,CR,Commercial - Regular,3500.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS-LICO,RR,Residential - Regular,1200.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,LICO-RIZAL AVE,CR,Commercial - Regular,3500.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,LICO-RIZAL AVE,RR,Residential - Regular,1200.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS-LICO,CR,Commercial - Regular,3500.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,J A SANTOS-LICO,RR,Residential - Regular,1200.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,BUGALLON-J A SANTOS,CR,Commercial - Regular,3500.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ALL OTHER STREETS,BUGALLON-J A SANTOS,RR,Residential - Regular,1200.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANACLETO,LICO-SOLIS,RR,Residential - Regular,2700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANACLETO,LICO-S REYES,RR,Residential - Regular,2700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANACLETO,LICO-SOLIS,RR,Residential - Regular,2340.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANACLETO,LICO-S REYES,RR,Residential - Regular,2340.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANACLETO,LICO-SOLIS,RR,Residential - Regular,1800.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANACLETO,LICO-S REYES,RR,Residential - Regular,1800.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANACLETO,LICO SOLIS,RR,Residential - Regular,1440.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANACLETO,LICO S REYES,RR,Residential - Regular,1440.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANACLETO,LICO-SOLIS,RR,Residential - Regular,1200.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANACLETO,LICO-S REYES,RR,Residential - Regular,1200.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANTIPOLO,RIZAL AVE-T MAPUA,CR,Commercial - Regular,9270.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANTIPOLO,RIZAL AVE-T MAPUA,RR,Residential - Regular,5610.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANTIPOLO,RIZAL AVE-T MAPUA,CR,Commercial - Regular,7410.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANTIPOLO,RIZAL AVE-T MAPUA,RR,Residential - Regular,4875.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANTIPOLO,RIZAL AVE-T MAPUA,CR,Commercial - Regular,5700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANTIPOLO,RIZAL AVE-T MAPUA,RR,Residential - Regular,3750.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANTIPOLO,RIZAL AVE T MAPUA,CR,Commercial - Regular,4550.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANTIPOLO,RIZAL AVE T MAPUA,RR,Residential - Regular,3000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANTIPOLO,RIZAL AVE-T MAPUA,CR,Commercial - Regular,3500.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,ANTIPOLO,RIZAL AVE-T MAPUA,RR,Residential - Regular,2500.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,BALANGA,ORION-DINALUPIHAN,RR,Residential - Regular,2700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,BALANGA,ORION-DINALUPIHAN,RR,Residential - Regular,2340.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,BALANGA,ORION-DINALUPIHAN,RR,Residential - Regular,1800.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,BALANGA,ORION-DINALUPIHAN,RR,Residential - Regular,1440.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,BALANGA,ORION-DINALUPIHAN,RR,Residential - Regular,1200.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,CAVITE,T BUGALLON-RIZAL AVE,RR,Residential - Regular,5090.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,CAVITE,T BUGALLON-RIZAL AVE,RR,Residential - Regular,4420.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,CAVITE,T BUGALLON-RIZAL AVE,RR,Residential - Regular,3400.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,CAVITE,T BUGALLON RIZAL AVE,RR,Residential - Regular,2700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,CAVITE,T BUGALLON-RIZAL AVE,RR,Residential - Regular,2250.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,DINALUPIHAN,J ABAD SANTOS-SOLIS,RR,Residential - Regular,2700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,DINALUPIHAN,J ABAD SANTOS-SOLIS,RR,Residential - Regular,2700.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,DINALUPIHAN,J ABAD SANTOS-SOLIS,RR,Residential - Regular,2340.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,DINALUPIHAN,J ABAD SANTOS-SOLIS,RR,Residential - Regular,2340.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,DINALUPIHAN,J ABAD SANTOS-SOLIS,RR,Residential - Regular,1800.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,DINALUPIHAN,J ABAD SANTOS-SOLIS,RR,Residential - Regular,1800.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,DINALUPIHAN,J ABAD SANTOS SOLIS,RR,Residential - Regular,1440.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,DINALUPIHAN,J ABAD SANTOS SOLIS,RR,Residential - Regular,1440.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,DINALUPIHAN,J ABAD SANTOS-SOLIS,RR,Residential - Regular,1200.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,DINALUPIHAN,J A SANTOS-SOLIS,RR,Residential - Regular,1200.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,JOSE ABAD SANTOS,DINALUPIHAN-RIZAL AVE,CR,Commercial - Regular,21940.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,JOSE ABAD SANTOS,DINALUPIHAN-RIZAL AVE,RR,Residential - Regular,4230.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,JOSE ABAD SANTOS,SOLIS-DINALUPIHAN,CR,Commercial - Regular,21940.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,JOSE ABAD SANTOS,TECSON,CR,Commercial - Regular,21940.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,JOSE ABAD SANTOS,DINALUPIHAN-RIZAL AVE,CR,Commercial - Regular,16875.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,JOSE ABAD SANTOS,DINALUPIHAN-RIZAL AVE,RR,Residential - Regular,3250.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,JOSE ABAD SANTOS,SOLIS-DINALUPIHAN,CR,Commercial - Regular,16875.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,JOSE ABAD SANTOS,TECSON,CR,Commercial - Regular,16875.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,JOSE ABAD SANTOS,DINALUPIHAN-RIZAL AVE,CR,Commercial - Regular,11250.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,JOSE ABAD SANTOS,DINALUPIHAN-RIZAL AVE,RR,Residential - Regular,2500.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,JOSE ABAD SANTOS,SOLIS-DINALUPIHAN,CR,Commercial - Regular,11250.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,JOSE ABAD SANTOS,TECSON,CR,Commercial - Regular,11250.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,JOSE ABAD SANTOS,DINALUPIHAN RIZAL AV,CR,Commercial - Regular,9000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,JOSE ABAD SANTOS,DINALUPIHAN RIZAL AV,RR,Residential - Regular,2000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,JOSE ABAD SANTOS,SOLIS DINALUPIHAN,CR,Commercial - Regular,9000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,JOSE ABAD SANTOS,TECSON,CR,Commercial - Regular,9000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,JOSE ABAD SANTOS,DINALUPIHAN-RIZAL AVE,CR,Commercial - Regular,9000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,JOSE ABAD SANTOS,DINALUPIHAN-RIZAL AVE,RR,Residential - Regular,2000.0
raw,"RDO No. 31 - Sta. Cruz, Manila is composed of the following Barangays:",,,,,,ZONE:  19,JOSE ABAD SANTOS,SOLIS-DINALUPIHAN,CR,Commercial - Regular,9000.0
