region,rdo,do_no,effectivity,revision,province,city,barangay,street,vicinity,classification,class_name,value_sqm
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,RR,Residential - Regular,1200.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A1,Agricultural - A1,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A2,Agricultural - A2,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A4,Agricultural - A4,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A16,Agricultural - A16,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A50,Agricultural - A50,70.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG NATIONAL ROAD,CR,Commercial - Regular,3700.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG NATIONAL ROAD,RR,Residential - Regular,3000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG  BARANGAY ROAD,CR,Commercial - Regular,2000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG  BARANGAY ROAD,RR,Residential - Regular,1500.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,RR,Residential - Regular,1200.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A1,Agricultural - A1,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A2,Agricultural - A2,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A4,Agricultural - A4,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A10,Agricultural - A10,80.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A16,Agricultural - A16,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A39,Agricultural - A39,1900.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A40,Agricultural - A40,3700.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A50,Agricultural - A50,70.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG NATIONAL ROAD,CR,Commercial - Regular,3700.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG NATIONAL ROAD,RR,Residential - Regular,3000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG  BARANGAY ROAD,CR,Commercial - Regular,2000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG  BARANGAY ROAD,RR,Residential - Regular,1500.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,RR,Residential - Regular,1200.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG NATIONAL ROAD,CR,Commercial - Regular,3700.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG NATIONAL ROAD,RR,Residential - Regular,3000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,CR,Commercial - Regular,2000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,RR,Residential - Regular,1500.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,RR,Residential - Regular,1200.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A1,Agricultural - A1,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A2,Agricultural - A2,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A4,Agricultural - A4,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A10,Agricultural - A10,80.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A16,Agricultural - A16,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A39,Agricultural - A39,1900.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A40,Agricultural - A40,3700.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A50,Agricultural - A50,70.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,CR,Commercial - Regular,2000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,RR,Residential - Regular,1500.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,RR,Residential - Regular,1200.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A1,Agricultural - A1,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A2,Agricultural - A2,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A4,Agricultural - A4,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A10,Agricultural - A10,80.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A16,Agricultural - A16,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A39,Agricultural - A39,1000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A40,Agricultural - A40,2000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A50,Agricultural - A50,70.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG NATIONAL ROAD,CR,Commercial - Regular,3700.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG NATIONAL ROAD,RR,Residential - Regular,3000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,CR,Commercial - Regular,2000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,RR,Residential - Regular,1500.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,RR,Residential - Regular,1200.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A1,Agricultural - A1,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A2,Agricultural - A2,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A4,Agricultural - A4,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A16,Agricultural - A16,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A50,Agricultural - A50,70.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG MUNICIPAL ROAD,CR,Commercial - Regular,2500.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG MUNICIPAL ROAD,RR,Residential - Regular,2000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,CR,Commercial - Regular,2000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,RR,Residential - Regular,1500.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,RR,Residential - Regular,1200.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A1,Agricultural - A1,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A2,Agricultural - A2,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A4,Agricultural - A4,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A16,Agricultural - A16,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A50,Agricultural - A50,70.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG NATIONAL ROAD,CR,Commercial - Regular,3700.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG NATIONAL ROAD,RR,Residential - Regular,3000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG MUNICIPAL ROAD,CR,Commercial - Regular,2500.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG MUNICIPAL ROAD,RR,Residential - Regular,2000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,CR,Commercial - Regular,2000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,RR,Residential - Regular,1500.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,RR,Residential - Regular,1200.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A1,Agricultural - A1,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A2,Agricultural - A2,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A4,Agricultural - A4,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A16,Agricultural - A16,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A50,Agricultural - A50,70.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,CR,Commercial - Regular,2000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,RR,Residential - Regular,1500.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,RR,Residential - Regular,1200.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A1,Agricultural - A1,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A2,Agricultural - A2,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A4,Agricultural - A4,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A16,Agricultural - A16,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A50,Agricultural - A50,70.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG NATIONAL ROAD,CR,Commercial - Regular,3700.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG NATIONAL ROAD,RR,Residential - Regular,3000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,CR,Commercial - Regular,2000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,RR,Residential - Regular,1500.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,RR,Residential - Regular,1200.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A1,Agricultural - A1,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A2,Agricultural - A2,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A4,Agricultural - A4,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A16,Agricultural - A16,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A50,Agricultural - A50,70.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,CR,Commercial - Regular,2500.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,RR,Residential - Regular,1500.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,RR,Residential - Regular,1200.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG NATIONAL ROAD,CR,Commercial - Regular,3700.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG NATIONAL ROAD,RR,Residential - Regular,3000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,CR,Commercial - Regular,2000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,RR,Residential - Regular,1500.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,RR,Residential - Regular,1000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A1,Agricultural - A1,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A2,Agricultural - A2,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A4,Agricultural - A4,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A16,Agricultural - A16,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A50,Agricultural - A50,70.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,CR,Commercial - Regular,2000.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,ALONG BARANGAY ROAD,RR,Residential - Regular,1500.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,RR,Residential - Regular,1200.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A1,Agricultural - A1,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A2,Agricultural - A2,85.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A4,Agricultural - A4,90.0
raw,"RDO No. 88 - Tacloban City, Leyte is composed of the following City/Munici",011-2024,"February 17, 2024",1ST,:  LEYTE,ABUYOG,ALL LOTS,,INTERIOR LOTS,A10,Agricultural - A10,80.0
